customer_id,normal_score,exponential_wait_time,uniform_value,income_estimate,risk_category,priority_level,account_type,is_active,missing_test
CUST_00000,200.0,0.3666022702701539,-5.6186238179628445,4.028119755744328,C,Medium,Type1,True,27.0
CUST_00001,250.0,0.22089763457015135,-9.265572749983576,9.127425681749727,C,Low,Type2,True,87.0
CUST_00002,-100.0,2.023568229408261,-7.839484917386173,24.534467274506927,B,Medium,Type1,True,93.0
CUST_00003,300.0,2.451589879023199,-3.222787013224968,4.518127113224111,A,Low,Type1,True,53.0
CUST_00004,500.0,0.06419149347206422,6.051713591596258,1.131390371862276,B,Medium,Type1,False,52.0
CUST_00005,46.487945645762295,5.5043881088978175,1.4409728673860158,13.731760658416146,A,Medium,Type1,True,63.0
CUST_00006,73.68819223261087,0.10674097135801607,0.25335451912832774,3.9143042948008238,A,Low,Type1,True,73.0
CUST_00007,61.51152093729363,1.558701776191244,-4.130223535837567,2.2486574312728664,B,High,Type1,True,53.0
CUST_00008,42.95788421097572,2.469280008122478,8.635074388656328,3.9576666044174402,A,Low,Type1,True,57.0
CUST_00009,58.13840065378947,4.095407104909522,-2.059699175256167,6.143991684094128,A,Low,Type1,False,52.0
CUST_00010,43.04873460781307,2.5041349457440525,-8.25814466408457,4.036004976271703,A,Low,Type1,True,43.0
CUST_00011,43.01405369644615,3.236231745193452,2.3413303223560256,0.8141863100050064,B,Low,Type1,False,7.0
CUST_00012,53.629434073490515,0.8293654982928672,-7.723232130467972,18.12090414301055,A,Low,Type1,True,42.0
CUST_00013,21.300796330133032,3.3729091386958467,-3.0955371439661583,26.439921375362967,A,High,Type1,True,4.0
CUST_00014,24.126232512304508,0.1670128995163253,0.1482387743561766,14.175597371548703,A,Low,Type1,False,69.0
CUST_00015,41.56568706138541,4.504100637570432,7.484450493703516,2.3686361599629593,B,Low,Type2,True,5.0
CUST_00016,34.80753319498364,1.586343365757859,-0.12906839319762753,6.040630935750122,B,Low,Type1,False,75.0
CUST_00017,54.71370998892911,3.3997952193310375,4.045175320633286,7.341026513111048,A,Medium,Type1,False,92.0
CUST_00018,36.37963886718184,1.2041219438700927,9.856336779981408,13.447515792708218,A,Low,Type2,True,80.0
CUST_00019,28.815444479970626,2.0632780034401774,-7.370217602040368,14.416025773698895,A,Low,Type1,True,41.0
CUST_00020,71.98473153382331,1.4947956279175392,-4.50536948960961,3.546021253261096,C,Low,Type1,True,94.0
CUST_00021,46.61335549270196,2.6304756699738414,-2.108478488047072,8.020458232062115,A,Low,Type1,True,4.0
CUST_00022,51.012923070318855,0.17030979977791233,-1.5634364292233727,11.673022434882217,C,High,Type2,True,2.0
CUST_00023,28.628777206798148,0.12450006263803015,-1.7795784946890851,31.6843327010061,A,Medium,Type2,True,67.0
CUST_00024,41.834259132122256,0.5676543150798328,8.1522200511311,14.946939151201425,B,Low,Type1,False,21.0
CUST_00025,51.663838845647994,0.3476229730303001,4.280652889337128,16.265668951733613,B,Low,Type1,False,70.0
CUST_00026,32.73509633866546,4.1080711140047965,2.158104281814076,8.03515771847288,A,Low,Type1,True,43.0
CUST_00027,55.63547027518508,0.4949083163611079,-3.8125456427443583,30.279143591796377,C,High,Type1,True,82.0
CUST_00028,40.99041965121793,7.448205618868187,6.475807684425895,11.131320437700504,A,Low,Type1,True,69.0
CUST_00029,45.62459375310085,0.8216462486628586,9.101210229699777,3.123368571741528,A,Low,Type1,True,9.0
CUST_00030,40.97440081655905,0.40207420795770576,6.423965651004529,30.065248507302975,A,Low,Type1,True,84.0
CUST_00031,77.78417276763406,3.118426195188695,-9.968697896170543,14.84856566753538,B,Low,Type1,False,28.0
CUST_00032,49.79754162893099,2.1500324106830373,2.72802740366814,4.744357318139315,A,Medium,Type1,False,26.0
CUST_00033,34.13433606566149,1.3790902174468676,-8.977292371157986,4.574544050191972,A,Low,Type1,True,82.0
CUST_00034,62.338173681547836,1.6209965982312413,-4.847855593325563,9.940084733615608,A,High,Type1,True,83.0
CUST_00035,31.687345250434667,2.5402378794579326,-8.809505993044567,11.742148391937343,A,Low,Type2,True,3.0
CUST_00036,53.132953925071334,0.5187198913734135,2.0759090589877545,9.000609215273021,A,Medium,Type1,False,73.0
CUST_00037,20.604948141803366,11.217262464095409,3.731798269852135,10.087617417638134,A,Low,Type1,True,95.0
CUST_00038,30.077209266523543,7.36127995578019,-7.710247238681898,40.445580313329145,B,Medium,Type1,False,49.0
CUST_00039,52.952918538036855,2.1015061802651136,-2.3232223391004103,21.575170772526732,A,Low,Type1,False,17.0
CUST_00040,61.07699869993115,0.4451435569377867,-0.8752698208891587,8.940894063294987,A,Low,Type2,True,63.0
CUST_00041,52.57052421784956,2.2802955905507374,-2.618939564781668,18.940653308868132,A,Low,Type1,False,55.0
CUST_00042,48.265275764176394,0.14987474366858658,-7.579499990296139,2.6312949369341183,A,Medium,Type1,True,23.0
CUST_00043,45.48344456616067,0.06226423304723896,-1.621044196250491,11.000349554186712,B,Medium,Type1,False,34.0
CUST_00044,27.822170144488588,0.5959575062777931,5.023560956168362,45.11913111192032,C,Medium,Type1,True,69.0
CUST_00045,39.20233687407937,1.2421106037468779,-8.579846709334891,5.941455307371394,A,Low,Type2,True,15.0
CUST_00046,43.09041843560319,4.054039850381681,-8.39639971836193,3.1656742667709983,B,High,Type1,True,47.0
CUST_00047,65.85683339328374,2.597805957635778,-2.9045741632803157,3.8493762085028815,B,Low,Type1,True,3.0
CUST_00048,55.15427434352692,2.715075809498644,8.834514232378503,2.4852343542759083,B,Low,Type1,False,83.0
CUST_00049,23.55439766955899,1.1084871588148277,3.371452934458281,3.37109659948033,A,Low,Type1,True,28.0
CUST_00050,54.86125954092192,0.8490970653789652,3.5733991334512964,5.101282105695793,C,Low,Type2,True,3.0
CUST_00051,44.22376579375525,0.9273713010945941,-2.7616001832427006,1.8120032130422823,A,Low,Type1,False,4.0
CUST_00052,39.84616999541062,8.788127783033008,1.873215824170769,7.5053667697873925,A,High,Type2,True,88.0
CUST_00053,59.175144332613016,0.08187148408785734,-9.797376319445132,18.215578213862443,A,Low,Type1,False,31.0
CUST_00054,65.46499283743927,4.035285983511478,2.721920928190844,2.9809553007085796,A,Low,Type1,True,45.0
CUST_00055,63.96920178674298,1.728703482705325,8.265738951524735,33.76024489302528,A,Medium,Type1,True,59.0
CUST_00056,37.41173715166042,1.154698162069319,2.2514693668963837,12.314680515546192,A,Low,Type1,False,45.0
CUST_00057,45.36181436223178,2.583843134977741,7.473971869326903,20.70925259407199,A,Low,Type1,True,75.0
CUST_00058,54.96895147105346,1.333668607198428,4.479461109321877,3.827322398927552,B,Low,Type1,True,37.0
CUST_00059,64.63317690683539,4.133812682535534,-7.5888316719261955,17.36619025300762,B,Medium,Type1,True,65.0
CUST_00060,42.81238643232065,4.619256959240749,8.049066145716836,2.4795227437089173,A,Low,Type1,True,9.0
CUST_00061,47.215115350042744,1.0953974027080495,-8.671123112884501,17.997763511878787,B,Medium,Type1,True,17.0
CUST_00062,33.40497538990958,0.6482158141702838,0.6793494509552751,8.774408325573454,B,Medium,Type1,True,65.0
CUST_00063,32.05690063878994,1.7946942438818185,-7.157257524130847,12.848810256150529,B,Low,Type1,True,3.0
CUST_00064,62.18788733591297,4.869111879047198,-9.765867785381918,2.280524349497204,A,Low,Type1,False,26.0
CUST_00065,70.34360042856234,0.4731217979000491,-1.55931479744722,3.019013606659718,A,Low,Type1,True,53.0
CUST_00066,48.91984817629499,1.9508429153991511,-4.099185846916875,13.426471163351767,C,High,Type2,True,31.0
